id,text
1,نصر محروس: انتظروا أغانى جديدة لـ مصطفى شوقى وسومة في الكريسماس
2,
3,تامر حسين: والله ما فى عداوة بين عمرو دياب وتامر حسنى و لا رامي صبرى
4,رامي صبري بعد مشاركته فى تحدى الهضبة: أتمنى جمهور عمرو دياب يفهم أني بحترمه جدًا
5,هنا الزاهد: عملت عملية تجميل واحدة ومش بتضايق من مقارنة صورى قبلها.. فيديو
6,هنا الزاهد تحقق حلم الراحل طلعت زكريا.. اعرف القصة؟
7,"""بالبنط العريض"" لـ حسين الجسمي تتخطى حاجز 330 مليون مشاهدة في 5 أشهر"
8,"رامى صبرى وأحمد جمال وخالد عز يتفاعلون مع ""تحدى محسود"" لعمرو دياب.. فيديو"
9,الصندوق الأسود لـ منى زكى يضيف 55 ألف جنيه ويتخطى الـ7 ملايين فى شباك التذاكر
10,"8 صور لـ "" كلايتون جونسون "" خطيب لانا ديل راى.. يعشق الحيوانات الأليفة"
11,"شاهد على ربيع يرقص على أغنية ""أندال"" أثناء قيادة سيارته"
12,رسالة من الفنان أحمد عبد العزيز إلى أبناء الصعيد.. تعرف عليها
13,جاستين بيبر وهايلى بالدوين يحتفلان بالكريسماس x صورتين بينهما 3 سنوات
14,ويليام دافو يعود لـ Spider Man بعد غياب 18 عاماً
15,ريهام عبد الغفور فى سيلفى جديد: اخترت أبقى مرتاحة أكتر ما أبقى ناجحة
16,خطبة لانا ديل راى وكلايتون جونسون بعد التقائهما على تطبيق للمواعدة
17,"عمرو عرفة يكشف كواليس تصوير المشاهد الكوميدية بفيلم ""السفارة فى العمارة"""
18,سميرة سعيد تنعى الناقد المغربى نور الدين الصايل: صديق وأخ كان لى سندا
19,"هاشتاج ""محسود"" للهضبة عمرو دياب يتصدر تريند تويتر ويوتيوب"
20,سامح حسين .. تعرف على رحلة كفاح الكوميديان فى يوم ميلاده
21,وقعوا فى بعض.. بيكا يخسر عمر كمال وشاكوش فى أسبوع بسبب فلوس المهرجانات
22,عود البطل.. نيرمين الفقى بقوام ممشوق بأحدث إطلالة غاية فى الجمال
23,مادونا تحتفل بالأعياد بتزيين شجرة الكريسماس مع ابنائها.. فيديو وصور
24,4 رجال فى حياة الراحلة مها صبرى
25,عمرو دياب لجمهوره: ‏عايز أسمع أصواتكم الحلوة
26,خالد عليش يطلب من متابعيه حذف فتاة من إحدى صوره.. والنتائج كوميدية
27,القصة الكاملة لإنذار توم كروز العاملين بفيلم Mission Impossible بالفصل بسبب كورونا
28,هارى ستايل يؤجل جولته الغنائية ويؤكد: صحة الجميع على رأس أولوياتنا
29,عمر كمال يرد على هجوم حمو بيكا: محدش وقف معاك قدى
30,زين مالك يظهر للمرة الأولى منذ إنجاب مولوده الأول فى سبتمبر.. صور
31,محطات صعبة فى حياة ماجدة الخطيب فى ذكرى رحيلها
32,"هنيدى يحضر لفيلم جديد بتوقيع إسلام خيرى بعد ""النمس والإنس"""
33,"توم كروز يحتد على طاقم ""ميشين إمبوسيبل7"" لعدم التزامهم بقواعد السلامة لكورونا"
34,"ليلى عز العرب تجسد والدة كريم عبدالعزيز فى مسلسل ""الاختيار 2"""
35,فيلم الرسوم المتحركة The Croods2 يحقق 76 مليون دولار
36,"خالد كمال يجسد شخصية إرهابى فى ""القاهرة كابول"""
37,أغنية ALL I WANT FOR CHRISTMAS IS YOU تحقق نجاحا جديدًا بعد 26 عاما من طرحها
38,"عرض مسرحية ""المتجول"" بمهرجان زكي طليمات بأكاديمية الفنون اليوم"
39,46 مليون دولار لـ فيلم The New Mutants بعد طرحه أغسطس الماضى
40,مى فاروق تتعاون مع أحمد المالكى فى أغنية رومانسية جديدة
41,ديزني تعلن عن انتاجها فيلم من عائلة Stars Wars.. وتطرحه 2023
42,
43,"أحمد زاهر يتعاقد مع منتج ""زنزانة 7"" على ""مهمة مستحيلة"" بتوقيع رؤوف عبد العزيز"
44,محسود على عودك يا جميل.. كلمات برومو أحدث أغانى الهضبة عمرو دياب.. فيديو
45,"حمو بيكا يعلن وفاة راقص المهرجانات المعروف باسم ""عم مجدى"""
46,سميحة أيوب: أدوارى فى السينما كلها أى كلام.. وحنان مطاوع خليفتى فى المسرح
47,"تفاصيل 14 أغنية من ألحان هيثم نبيل فى أحداث مسلسل مى عمر ""لؤلؤ"""
48,"برومو أغنية ""يا أنا يا لأ"" لـ عمرو دياب يتصدر تريند يوتيوب"
49,إليشيا كيز تحمس معجبيها لمفاجأة جديدة من داخل الاستوديو
50,"سميحة أيوب: ""محمود مرسى ندم أوى بعد ما طلقنى"""
51,"طارق الشيخ : راضٍ تماما عن مشوارى ومحمد رشدى كسر مصر بـ""دامت لمين"""
52,"سميحة أيوب: ""سناء جميل متهورة وكنا نفهم بعض من نظرة عين"""
53,"فيفى عبده تطمئن جمهورها: ""أنا كويسة وبحب الرقص"".. وطبيبها: هترجع أحسن من الأول"
54,تركي آل الشيخ يرد بقسوة: الرجاء من جميع الأحباب عدم الاستماع للشائعات
55,"حسين الجسمى يهدى نجل ولى عهد أبوظبى ""قول وفعل"" بمناسبة تخرجه من ساندهيرست"
56,"أحمد زاهر يروج لمسلسل "" لؤلؤ"".. وابنته ليلى تهنئه: ""مبروك يا حبيبى"""
57,"طارق الشيخ عن ""القاضية ممكن"": ياريتنى ماغنيتها.. جبت وجع القلب لنفسى"
58,طارق الشيخ: عبد الباسط حمودة أفضل صوت شعبى وسعد الصغير في حتة لوحده
59,سميحة أيوب: تركت بيت أهلى سنة بسبب رفضهم دخولى معهد الفنون المسرحية
60,بيلي إيليش تزيل الستار عن إعلان فيلمها الوثائقي The World’s A Little Blurry
61,طارق الشيخ في زيارة لمقر اليوم السابع.. صور
62,أول تعليق من رابح صقر على واقعة تشابهه مع النجم العالمي براد بيت.. صور
63,نجوم استثمروا نجاحاتهم وقدموا أفلام وثائقية فى 2020 أبرزهم تايلور سويفت
64,المتحدة تضيء سماء القاهرة احتفالاً ببداية العام الجديد 2021
65,"مى عمر تخطف الأنظار بأفيش مسلسل ""لؤلؤ"" وعرضه 27 ديسمبر على on"
66,"""بغدادى بيج باند"" مع فنانين من كوبا والأرجنتين فى حفل الكريسماس بالأوبرا"
67,"جاول جادوت ترفع شعار ""لعب وجد وغناء"" فى كواليس تصوير فيلمها Wonder Woman 1984"
68,"تركى آل الشيخ يكشف عن أحدث أعماله الفنية مع عمرو دياب ""محسود"".. فيديو"
69,السقا لـ كرارة: ربنا يكفينا شر العين.. والأخير يرد: باين إننا متخانقين أوى
70,28 عرضًا فى الدورة الـ 13للمهرجان القومى للمسرح وتكريم 6 فنانين
71,آسر ياسين يخوض مغامرة لالتقاط صورة مع سيدة سائقة تاكسى: ست مصرية أصيلة
72,"كريم عبد العزيز يصور 14 مشهدًا من ""الاختيار 2"" داخل أكاديمية الشرطة"
73,"ريهام حجاج تبدأ تصوير مسلسلها الجديد ""كل ما نفترق"" بعد نجاح ""لما كنا صغيرين"""
74,تعرف على جوائز المهرجان القومى للمسرح المصرى فى دورته الـ 13
75,يوسف الشريف يتوقع 8 فرق للتأهل لربع نهائى دورى أبطال أوروبا
76,حسناء سيف الدين تكشف آخر تطورات إصابتها بـ 5 أورام فى رقبتها
77,كيم كاردشيان تتجاهل تقارير حياتها المنفصلة عن زوجها كانى ويست بصورة رائعة
78,"أميرة الماريمبا ""نسمة عبد العزيز"" تحيى حفلا غدا فى أوبرا الإسكندرية"
79,كريستى تيجن تستمتع بوقتها مع طفليها بين أشجار الكريسماس المغطاة بالثلوج
80,"أشرف عبد الباقى:""بعد ما جوزت فرقة مسرح مصر بجوز أول واحد فى الفرقة الجديدة"""
81,"مراد مكرم يكشف عن وصية والدته: ""قسمت كل حاجتها على حياة عينها """
82,
83,حتى نلتقى مرة أخرى..يسرا تستعرض إطلالاتها فى مهرجان القاهرة السينمائى..فيديو
84,"تعرف على كلمات أحدث أغانى الهضبة عمرو دياب ""يا انا يا لأ"""
85,وائل جسار يحيي حفلين في ليلة رأس السنة بالقاهرة
86,فيفى عبده تعود لمتابعيها بفلاتر مضحكة فى ظهور جديد بعد أزمتها الصحية.. صور
87,"مى عمر بطلة فيلم ""تحت تهديد السلاح"" مع حسن الرداد"
88,"المخرج حسام علي يستعد لمسلسله الجديد ""ورق التوت"" في 45 حلقة"
89,"انطلاق الحملة الدعائية لألبوم عمرو دياب الجديد ""يا أنا يا لأ"" فى الشوارع"
90,ميريام فارس فى أول جلسة تصوير تجمعها مع أبنائها جايدن ودافى.. فيديو وصور
91,الاهتمام مابيتطلبش.. كيم كاردشيان تختبر ذاكرة معجبيها ومدى تركيزهم
92,"بشرى فى صورة مع 3 نجوم شباب: ""المواهب المصرية الرائعة مستقبل السينما"""
93,دولاب الذكريات.. محمد الشرنوبى مع والده فى صور من الطفولة: صاحبى وأستاذى
94,يوسف إسماعيل يكشف تفاصيل الدورة الـ13 للمهرجان القومى للمسرح المصرى
95,"شاهد ياسين أحمد السقا مع عمرو يوسف فى كواليس مسلسل ""الملك أحمس"""
96,"لبلبة تبدأ تصوير ""العميل صفر"" مع محمد سامى فى يناير المقبل"
97,"روبى ويليامز يسجل ألبومه الغنائى فى ""الحجر المنزلى"" ويستعد لإطلاقه خلال 2021"
98,"ريم مصطفى تبدأ تصوير دورها فى ""أهل الكهف"" وتحضر لـ""الملك"""
99,"اليوم.. عرض""سالب واحد"" بمهرجان المسرح العربى بأكاديمية الفنون"
100,شاهد كليب Elastic Heart للنجمة سيا بعد وصوله إلى 1.1 مليار مشاهدة
101,اعرف موعد طرح فيلم Thor: Love and Thunder
102,"اكرم فريد ينتهى من مونتاج ""صابر وراضى"" وينتظر موعدا للعرض"
103,"حاتم فهمى سعيد بردود الأفعال بعد طرح ""تقيل وهادى"": اللى جاى أحلى ومفاجآت"
104,شيراز بطلة ما وراء الطبيعه تكتم دموعها على الهواء مع ريهام سعيد: هموت وأشوف سوريا بلدى
105,"تأجيل طرح ""Captain Marvel 2"" إلى نوفمبر 2022"
106,آسر ياسين فى أحدث صورة مع زوجته: الشايب والجميلة
107,رومانسية بريانكا شوبرا ونيك جوناس فى أحدث صور بمنزلهما قبل الكريسماس
108,ناصيف زيتون يحيى حفلا غنائيا برأس السنة فى دبى.. اعرف التفاصيل
109,الأوبرا تحيى ذكرى رحيل فريد الأطرش باحتفالية فنية.. اعرف موعد الحفل
110,"ظهور ""جن عاشق وأفعى وقطة"" لدينا فؤاد يشعل أحداث الحلقة الثانية من ""جمال الحريم"""
111,عبد الرحمن أبو زهرة عقب تكريمه: وقوفي على هذا المسرح شرف كبير
112,جلسة تصوير رومانسية تجمع عبير صبرى وزوجها.. صور
113,"حاتم فهمى يطرح كليب أغنية ""تقيل وهادى"".. فيديو"
114,ابنة أحمد راتب: والدى رفض فكرة الاعتزال وقالنا لما أموت اعرفوا أنى اعتزلت الفن
