id,text
1,اطمن على نفسك.. ما هو فحص البروستاتا ومتى يجب إجراؤه؟
2,
3,باحثون بريطانيون: الجينات قد تكون مفتاح علاجات كورونا الجديدة
4,استشارى مناعة: اللقاح الصينى سينوفارم لا يتطلب درجات منخفضة لحفظه
5,اعرف مقدار حماية الكمامة القماش من كورونا وإزاى تتعامل معاها
6,أستراليا توقف تجارب لقاح كورونا بسبب الاختبارات الإيجابية الكاذبة للإيدز
7,الأمريكيون الأكثر عرضة لخطر كورونا يحصلون على لقاح فايزر خلال أيام
8,"رئيس بيونتيك: ترخيص لقاح فايزر بأمريكا ""الحدث الأكثر أهمية"""
9,حلق يمكن لمرضى السكرى ارتداؤه يراقب مستويات الجلوكوز بالدم
10,لماذا لا تستطيع النساء الحوامل الحصول على لقاح كورونا؟
11,س و ج: هل يمكن التوقف عن ارتداء الكمامة بعد الحصول على لقاح كورونا؟
12,علماء يطورون اختبارا للكشف عن الأجسام المضادة لكورونا فى 20 دقيقة
13,متى يتلقى المشارك بتجارب لقاح كورونا الحاصل على دواء وهمى الجرعة الصحيحة؟
14,"6 نصائح للحفاظ على الجلد مع ""التاتو"" الجديد.. أهمها حمايته من الشمس"
15,هل تساعد بذور الكرفس فى خفض ضغط الدم المرتفع؟
16,علاجات منزلية للتخلص من السعال الجاف
17,"علامات الإصابة بالتهاب ""الإحليل"" عند النساء والرجال"
18,الشتاء موسم النوبات القلبية.. اعرف السبب وطرق الوقاية
19,فوائد الفول الصويا أهمها يقلل من مخاطر الإصابة بالسرطان
20,6 نصائح لتحسين صحة الجهاز الهضمى بطرق طبيعية
21,مربى الحيوانات الأليفة يتشاركون معهم نفس مخاطر الإصابة بمرض السكرى
22,6 أعراض جديدة ترجح إصابة طفلك بكورونا.. أهمها لسان الفراولة والتهاب العيون
23,هل المضادات الحيوية والأدوية العشبية تقضى على مضاعفات فيروس كورونا داخل جسمك؟
24,دراسة نثبت فعالية عينات اللعاب فى تشخيص مرض كورونا
25,دراسة لجامعة هارفارد تكشف العلاقة بين السمنة ونمو الأورام السرطانية
26,إصابة صالح جمعة مرة ثانية.. لماذا يصاب المتعافى من كورونا بالفيروس مجددا؟
27,جامعة أمريكية تطور علاجا مناعيا لمقاومة السرطان بتكلفة 200 مليون دولار
28,تدريب الكلاب على اكتشاف كورونا عن طريق شم العرق البشرى.. اعرف التفاصيل
29,اطمن على نفسك ..5 مشاكل صحية عند الرجال يجب فحصها مبكرا
30,مرضى فيروس كورونا من الحالات المعتدلة قد يتعرضون للسكتة الدماغية
31,بلومبرج: سانوفى تعيد تجربة المرحلة الثانية للقاحها المحتمل لكورونا بسبب انتكاسه
32,الرقابة الطبية البريطانية تنصح بمراقبة متعاطى لقاح كورونا 15 دقيقة بعد الحقن
33,تعرف على رحلة اللقاح الصينى سينوفارم من الإنتاج إلى النجاح
34,مجلة علمية: لقاح فايزر فعال بنسبة 95% ضد فيروس كورونا
35,دراسة سويدية: الأطفال المصابون بالاكتئاب أكثر عرضة للوفاة بحلول سن 31
36,5 أطعمة هتساعدك على ضمان صحة رئتك وجهازك التنفسى
37,5 أطعمة مفيدة لصحة وقوة شعرك أبرزها السبانخ والبيض
38,دراسة تكشف عن زيادة معدل ذكاء المصابين بالتوحد بين سن 12 إلى 23 عامًا
39,5 نصائح آمنة وفعالة لمرضى السكر للعناية بالقدم السكرى
40,ماذا يحدث فى جسمك عند انخفاض الصوديوم وما هى الأعراض؟
41,تعرف على سبب حدة كورونا لدى البالغين مقارنة بالأطفال
42,
43,6 طرق لحماية قدميك من التورم.. شرب الكثير من الماء أبرزها
44,6 من أمراض المناعة الذاتية ليس لها علاج.. أبرزها الصدفية
45,"رجيم ""الكيتو"" يقلل خطر الإصابة بفيروس كورونا والأنفلونزا..اعرف السبب"
46,دراسة بريطانية: التردد فى تلقى لقاح كورونا قد يؤثر على مناعة القطيع
47,تدابير شركات الأغذية العالمية لمواجهة فيروس كورونا
48,تعرف على المنطقة الأكثر تضررا بالأوبئة بداية من الإنفلونزا الإسبانية حتى كورونا
49,التهاب العيون قد يشير إلى الإصابة بعدوى كورونا.. دراسة توضح
50,هل ارتداء قناعين أفضل من قناع واحد لمواجهة كورونا؟
51,تعرف على مكونات لقاح فايزر بعد إصابة اثنين بردود فعل تحسسية
52,روسيا تحذر من تناول الكحوليات بعد جرعات لقاح كورونا
53,تعرف على أعراض حدوث عدوى فى القلب والإجراءات الوقائية
54,الأطفال المصابون بكورونا بدون أعراض أكثر عرضة لتلف الأوعية الدموية
55,دراسة تؤكد: 45% من مصابى كورونا لايعانون من الحمى
56,مودرنا تبدأ إجراء تجارب لقاح كورونا على المراهقين من سن 12إلى 18 عاما
57,تطوير اختبار مستضد منزلي للكشف عن فيروس كورونا في اللعاب
58,دراسة حديثة: على الناجين من كورونا الحصول على اللقاح
59,رفع فاعلية لقاح سبوتنيك لفيروس كورونا لـ96.2% بعد الجرعة الثانية
60,فايزر: تجارب اللقاح استبعدت مرضى الحساسية الشديدة
61,خبير الأمراض المعدية بأمريكا ينصح بتوفير ترياق مضاد للحساسية بمراكز لقاح فايزر
62,3 علامات لرد الفعل التحسسى تجاه لقاح فايزر بعد حقن البريطانيين
63,"""FDA""تحذر من ارتداء أقنعة الوجه المحتوية على المعدن أثناء الخضوع لأشعة الرنين"
64,منظم الأدوية البريطانية يتحدث عن أفضل نظام للقاح بأكسفورد ضد كورونا
65,ابتكار مبردات هيليوم لحفظ لقاحات كورونا فى درجة حرارة 150 تحت الصفر
66,لقاح كورونا Vs المناعة الطبيعية.. دراسة حديثة تكشف الفائز فى المعركة
67,الرجال يواجهون 3 أضعاف احتمالات دخول العناية المركزة بسبب كورونا
68,بلومبرج: مستشفيات هندية تعلن جاهزيتها لحقن مليون شخص يوميًا بلقاح كورونا
69,فايزر تطرح لقاح كورونا بأسعار مختلفة حول العالم.. 19 دولارا ثمنه بأمريكا
70,كيف تزور طبيبك بأمان فى زمن كورونا؟
71,"اليوم.. تقرير مصير لقاح كورونا من فايزر لطرحه بأمريكا بموافقة ""FDA"""
72,"علماء هنود يحددون ""كوكتيل"" محتمل لعلاج أعراض كورونا.. تعرف عليه"
73,فوائد صحية لاستخدام قناع النوم.. يسيطر على الصداع النصفى
74,FDA توافق على أول اختبار لكورونا يمكن استخدامه دون وصفة طبية
75,اعرف الفرق بين التهاب الحلق العادى أو بسبب كورونا
76,تعرف على 5 طرق غذائية نباتية مفيدة لصحتك
77,كيف تتغلب على خشونة العظام فى فصل الشتاء؟
78,تعرف على الفوائد الصحية لسلطة السلمون لتقوية صحة القلب
79,سر علاقة كورونا بالتهاب الزائدة الدودية عند الأطفال
80,المتعافون من كورونا يعانون من عرض واحد على الأقل بعد شهرين.. دراسة توضح
81,دواء لاضطراب نادر يظهر نتائج مبشرة فى علاج فيروسات الهربس
82,
83,دراسة: أدوية المناعة لمرضى السرطان تزيد من إصابتهم بأمراض القلب
84,عدوى الأذن.. أنواعها وأعراضها وأسبابها ونصائح العلاج والوقاية
85,"""الفيس شيلد"" لا يحمى من الإصابة بفيروس كورونا وينقل الرذاذ من الأنف"
86,دراسة كندية: قلة النوم تؤدى إلى الإصابة بالاكتئاب لدى المراهقين
87,"""سلامة الغذاء"": الأغذية الغامقة أكثر فائدة من الفاتحة ويجب الاهتمام بفيتامين c"
88,6 فوائد لفاكهة اللونجان.. منها الوقاية من الأمراض الموسمية
89,"مراكز السيطرة على الأمراض الأمريكية تحذر من استخدام ""الكوفية"" بديلا عن الكمامات"
90,الضغط النفسى والإجهاد أثناء الحمل قد يؤذى دماغ الجنين
91,كبار السن أكثر عرضة للأزمات النفسية.. اعرف إزاى تتعامل معاهم
92,هل لقاح فيروس كورونا مؤلم؟ نصيحة للأطباء بشأن الحصول على حقنة التطعيم
93,"""FDA"" لقاح فايزر يحمى من الإصابة بفيروس كورونا بعد7 أيام من الجرعة الأخيرة"
94,فقدان الوزن أفضل حل لتخفيف ألم التهاب المفاصل.. اعرف الأسباب
95,مدير مجموعة أكسفورد: لقاح استرازينيكا يستطيع السيطرة على وباء كورونا
96,حقن ذوى الأولوية بلقاح فايزر فى أمريكا يبدأ بعد 96 ساعة من موافقة FDA
97,تحليلان لعلماء وخبراء أمريكيين يؤكدان سلامة لقاح فايزر
98,علماء بالسويد يفكون شفرة البكتيريا المسببة للالتهاب السحائى المميت
99,أطباء الهند يحاولون تفسير المرض الغامض .. اكتشاف رصاص ونيكل فى دم المرضى
100,تضمين اختبار الأجسام المضادة في تجربة لقاح مودرنا المحتمل لكورونا
101,باحثون فى فنلندا يطورون طريقة جديدة لتقييم سلامة اللقاحات
102,كبير أطباء بريطانيا: فعالية لقاح كورونا قد تستمر 9 أشهر فقط
103,جامعة كاليفورنيا تنضم إلى نوفافاكس لاختبار لقاح جديد لكورونا
104,فايزر تطور شكلا جديدا من لقاح كورونا لا يحتاج إلى تخزين شديد البرودة
105,تحذيرات من إعطاء لقاح فايزر لفيروس كورونا للأشخاص المصابين بحساسية شديدة
106,"""المبيضات أوريس"" مرض فطرى نادر ومميت فى البرازيل .. اعرف التفاصيل"
107,الهند تطلق تطبيق Co-WIN المجانى للوصول للقاح كورونا بالمحمول
108,ديلى ميل:علماء أمريكا يوثقون أول حالة إصابة بالشلل المؤقت نتيجة لعدوى كورونا
109,FDA: لقاح فايزر لم يُظهر مخاوف تتعلق بالسلامة وبشكل عام النتائج إيجابية
110,"فايزر: تخطي الجرعة الثانية من لقاح كورونا ""خطأً كبيرًا"""
111,بريطانيا ترفض مخاوف السلامة من لقاح فايزر .. اعرف التفاصيل
112,كل ما تريد معرفته عن تطعيم الالتهاب السحائى بمناسبة حملة التطعيم بالمدارس
113,شركة بهارات الهندية تبدأ تجارب لقاح كورونا يؤخذ عن طريق الأنف بحلول يناير
114,لقاح سينوفارم الصينى لكورونا يثبت فعالية بنسبة 86%
115,دراسة توثق استجابات الجسم المضاد لـ كورونا بعد 5 أشهر من ظهور الأعراض
116,نصائح لتربية الأبناء بطريقة تحافظ على صحتهم العقلية
117,"""فرقعة الأصابع"" مش مجرد لعب.. مؤشر لإصابتك بهذه الأمراض"
118,فقدان الشهية الرياضى اضطراب يصيب الرياضيين.. اعرف كل شىء عنه
119,تعرف على أشهر أسباب الكحة الصباحية.. نزلات البرد أهمها
120,5 نصائح للمرأة قبل ممارسة الرياضة أثناء الحمل
121,إعرف علامات التعرض لخطر الانهيار العقلى
122,
