id,text
1,74 مباراة جمعت الزمالك والمقاولون.. اللقاء الأول والأخير لصالح الذئاب
2,
3,ياسر إدريس يفوز بعضوية الاتحاد الأفريقى للسباحة بالتزكية
4,رمضان صبحى والسعيد وإكرامى يقودون بيراميدز أمام الاتحاد فى أول مباراة بالدورى
5,7 أخبار رياضية لا تفوتك اليوم
6,الأهلى يرحب بعائلة بيتسو موسيمانى داخل ملعب التتش.. صور
7,عمرو زكى يدعم الزمالك قبل لقاء المقاولون: بداية قوية وموفقة لموسم ناجح
8,"عبد الله جمعة يذبح ""عجل"" تقرباً إلى الله للتخلص من كورونا"
9,عبد المنصف يحطم رقما عالميا ويتخطى توتى وجيجز بعد الظهور أمام البنك الأهلى
10,وادى دجلة يتقدم على البنك الأهلى فى الشوط الأول.. فيديو
11,صلاح أمين يتقدم بهدف لوادى دجلة أمام البنك الأهلى.. فيديو
12,س و ج.. كل ما تريد معرفته عن مباراة الزمالك والمقاولون الليلة فى الدوري
13,الزمالك يتفوق على المقاولون فى القيمة التسوقية ومتوسط الأعمار قبل لقاء الليلة
14,شريف إكرامى يحرس مرمى بيراميدز فى أول ظهور بالدورى أمام الاتحاد السكندرى
15,حكاية 8 مباريات لا تعرف التعادل السلبى بين بيراميدز والاتحاد قبل لقاء اليوم
16,لاعبو الإسماعيلى يتعاهدون على الفوز أمام المصرى وإهدائه للطفلة مريم
17,اتحاد الطائرة يعلن جدول الدورى الممتاز للموسم الجديد
18,برة الملعب.. يارا طارق لاعبة اليد: هوايتي سماع الأغاني وحلمى أكون سيدة أعمال
19,شادى رضوان لاعب البنك الأهلى يعلن إصابته بكورونا قبل مباراة دجلة
20,الأهلي يسافر النيجر 19 ديسمبر لمواجهة سونيديب فى ضربة البداية الأفريقية
21,ماذا قدم باتشيكو والنحاس مع الزمالك والمقاولون العرب قبل مباراة الليلة؟
22,كشف حساب جهاد جريشة قبل إدارة مواجهة الزمالك والمقاولون العرب الليلة
23,الطلائع يستعيد جهود أحمد علاء فى مواجهة أسوان بعد انتهاء الإيقاف
24,ياسر إبراهيم وأبناؤه مع الثلاثية: عقبال اللى جاى وإحنا مع بعض ياحبايبى
25,"على معلول يفتح صندوق أسراره ويكشف 5 أمور غريبة: ""لا تخبروا عبد الحفيظ"""
26,15 معلومة عن مواجهة الزمالك والمقاولون العرب قبل صدام الليلة
27,مجدى عبد الغنى يحتفل بتحقيق أول لقب أفريقي مع الأهلي
28,أحمد سليمان فى رسالة لجماهير ورموز الزمالك: وحدوا الصف ونحوا الخلافات
29,تريزيجيه يغيب عن أستون فيلا 3 أسابيع للإصابة بالعضلة الخلفية
30,موسيمانى يطلب ضم صفقتين سوبر للأهلى قبل كأس العالم للأندية
31,كفة متوازنة فى مواجهات عماد النحاس مع الزمالك قبل ضربة البداية بالدورى
32,"كواليس غرفة الملابس.. تفاصيل أزمة على معلول مع صالح جمعة بسبب ""الكوع"""
33,وزارة الرياضة تنظم عروضاً ضمن فعاليات قطار الشباب للأقصر وأسوان
34,التشكيل المتوقع للزمالك أمام المقاولون العرب فى الدورى الليلة
35,"لاعب الإنتاج الحربى: مختار مختار ""خيره عليا"" ويستاهل أعتذرله مليون مرة"
36,بيراميدز يسير على خطى الأهلى فى خطف مواهب الدراويش بحثاً عن الدورى
37,عمرو السولية يستعد لضربة البداية مع الأهلى: موسم وطموح جديدان
38,"أحمد عيد عبد الملك يكشف ""سلفة دبلة الخطوبة"" وجدعنة زوجته فى الأيام الصعبة"
39,سموحة يستعد للمحلة على استاد الإسكندرية.. وتحديد موقف غزال
40,عائلة موسيماني تصل القاهرة للاحتفال بأعياد الكريسماس فى مصر
41,جلسات تحفيزية فى معسكر الإسماعيلى قبل مواجهة المصرى بالدورى
42,
43,انطلاق القمة الشبابية لمراكز شباب مصر مع اليونسكو غداً
44,الزمالك يدخل مفاوضات لخطف موليكا قبل الأهلي فى الميركاتو الشتوى
45,اللجنة المنظمة لبطولة العالم لليد تخطط لتقليل أعداد فنادق المونديال
46,"حسين الشحات يستغل فترة الراحة ويتقمص شخصية الزعيم فى ""المتسول"".. فيديو"
47,موسيماني يُعيد ديانج لتشكيل الأهلي أمام المقاصة فى ضربة البداية بالدورى
48,قصة صور.. على معلول ملك الحلول وتاجر السعادة للجماهير الحمراء
49,زى النهاردة.. الأهلى بطلا لأفريقيا لأول مرة بهدف الخطيب فى كوتوكو الغانى
50,"الحضرى يهنئ ابنته شدوى بعد خطبتها: ""كبرتوا وكبرتونى ربنا يتم فرحتى بيكم"""
51,المجلس القومى للمرأة يحتفل بـ16 يوما لمناهضة العنف بالتعاون مع الأهلى
52,رئيس الإسماعيلى يساند الطفلة مريم ويؤكد استعداداه لتقديم كافة سبل الدعم
53,الراتب يعقد انتقال عمر السومة للأهلي فى الشتاء
54,الزمالك يصطدم بالمقاولون فى انطلاقة الدورى بحثًا عن مُصالحة جماهيره
55,الزمالك يطالب الأهلى بالتنازل عن قضية نادى القرن وتعويض الـ50 مليون
56,اليوم.. الطلائع يواجه النصر وديا استعدادا لمواجهة تماسيح النيل بالدورى
57,قصة هدف.. محمد بركات يسجل بطريقة رائعة فى نهائى أفريقيا أمام النجم الساحلى
58,الاهلي يعسكر اليوم استعداداً للمقاصة فى انطلاقة الدوري
59,"اليوم.. بيراميدز يستدرج زعيم الثغر فى الظهور الأول لـ"" رودولفو أروابارينا"""
60,5 معلومات عن مباراة الزمالك والمقاولون العرب فى الدورى المصرى
61,اتحاد الكرة يتراجع عن إقامة مباريات ربع نهائى كأس مصر بدون الدوليين
62,اليوم.. البنك الأهلى يدشن ظهوره الأول بالدورى الممتاز أمام دجلة
63,ربيع ياسين يعتمد طريقة 4-2-3-1 مع منتخب الشباب فى شمال افريقيا
64,أسوان يواجه الانتاج ودياً استعداداً لمباراة الطلائع فى الجولة الثانية بالدورى
65,الطلائع يغلق صفحة الجونة ويبدأ الاستعداد لمواجهة تماسيح النيل بالدورى
66,الإنتاج الحربى يراقب ديربى القناة للتعرف على مواطن قوة الإسماعيلى
67,الإسماعيلى ينهى اليوم استعداداته لمواجهة المصرى البورسعيدى بالإسكندرية
68,موعد مباراة الزمالك والمقاولون العرب اليوم السبت والقناة الناقلة
69,مواعيد مباريات اليوم السبت 12 / 12 / 2020 بالدوري المصرى والقنوات الناقلة
70,مؤمن زكريا يفسر سر احتفاله الشهير بأهدافه
71,محمد عادل: أسعار اللاعبين في مصر مبالغ فيها.. وأيمن حفني لاعب غير ملتزم
72,مازن مرزوق: فتح القيد الشتوى فى يناير بسبب الأندية المشاركة فى أفريقيا
73,موسيمانى: أحتاج للاعبين بقدرات خاصة فى كأس العالم وأشكر فايلر
74,صور جديدة للخطيب وفرج عامر وحسن حمدى فى رحلة صيد بالبحر الأحمر
75,اخبار الرياضة المصرية اليوم الجمعة 11/12/2020
76,وكيل كودجو يوضح لليوم السابع حقيقة مفاوضات الأهلى لضم اللاعب من العين
77,الزمالك يكشف حالة رئيس اللجنة المعينة لإدارة النادى بعد إصابته بكورونا
78,الإنتاج الحربي: صالح جمعة تواجد في غرفة تغير الملابس وليس المدرجات فقط
79,مفاجأة.. الأهلى يطالب الزمالك بـ50 مليون جنيه تعويضا عن لافتة نادى القرن
80,7 اخبار رياضية لا تفوتك اليوم
81,خالد لطيف: بيان لجنة الزمالك أصابنى بالقلق.. والنادى فى محنة شديدة
82,
83,اتحاد الكرة: صالح جمعة غادر مباراة سيراميكا والإنتاج بفرمان من المراقب الطبى
84,على معلول: قيادة السيارات فى مصر صعبة وبروح التمرين بموتوسيكل
85,سيف زاهر : محمد فضل وعبد الله يتمسكان بالرحيل عن اتحاد الكرة
86,على معلول: مفاوضات بيراميدز اجتهادات.. والعروض لا تشغلنى بدليل فوزنا بالثلاثية
87,"أيمن يونس عن الاعتداء عليه: ""عيل تافه والموضوع أخد أكبر من جحمه"""
88,جهاد جريشة حكما لمباراة الزمالك والمقاولون غدا
89,على معلول: هدف السولية فى الزمالك مش حظ..ولهذا السبب سددت الركلة الأولى أمام الطلائع
90,على معلول: لو الأهلي واجه الصفاقسى التونسى لن ألعب
91,"طارق يحيى بعد منعه من دخول نادى الزمالك: ""منعوا الجسد فقط"""
92,لجنة الزمالك تصدر بيانا لإعلان خطة جدولة الديون وإنشاء فرع أكتوبر
93,رمضان صبحى وإكرامى والشيخ فى قائمة أول مباراة لبيراميد فى الموسم الجديد وغياب الجوكر
94,"صور جديدة لأبناء نجوم الأهلى على ملعب التتش خلال احتفالية التتويج بـ""الثلاثية"""
95,نتائج مباريات اليوم فى بطولة الدورى للموسم الجديد
96,جدول ترتيب الدورى المصرى بعد إقامة 3 مباريات فى اليوم الأول
97,على معلول يكشف الإصابة الأصعب فى تاريخه وسر احتفاله بالأهداف
98,أهداف مباريات اليوم الأول في بطولة الدوري للموسم الجديد
99,صالح جمعة بعد حضور مباراة الإنتاج الحربى : مسحتى ليست إيجابية أو سلبية
100,سيراميكا يحقق أول انتصار فى الدورى بالفوز على الإنتاج بثنائية نظيفة
101,حصاد الرياضة المصرية اليوم الجمعة 11/12/2020
102,اتحاد الكرة: حضور صالح جمعة مباراة الإنتاج مسئولية المنسق الطبى وننتظر تقريره
103,"على معلول: فوز الأهلى بدرع الدورى فى مصر زى ""صباح الخير"""
104,ختام قوى لبطولة الكاراتيه التقليدى الثانية بدار المشاة .. صور
105,سيراميكا يتقدم على الإنتاج الحربى بهدف للتاريخ فى الشوط الأول.. فيديو
106,تجدد إيجابية مسحة كورونا لعلى جبر وخروجه من قائمة بيراميدز لمواجهة الاتحاد
107,منتخب الشباب يؤدى صلاة الجمعة بجامع مالك بن أنس بقرطاج.. صور
108,"ننفرد بنشر قرار إيقاف طارق يحيى فى الزمالك بـ "" خط اليد """
109,صالح جمعة يظهر فى مدرجات سيراميكا أمام الإنتاج رغم اشتباه إصابته بكورونا.. فيديو
110,تعيين اللواء أحمد عصام مديرا تنفيذيا لنادى الزمالك
111,داودا يوجه رسالة لجماهير الزمالك ويؤكد: المقاولون لن يكون ضيف شرف بالكونفدرالية..فيديو
112,أسرع الأهداف فى تاريخ الدورى المصري .. قبل ما يفعلها بواليا اليوم ؟ فيديو
113,أحمد فتحى يشارك فى مران بيراميدز الختامى قبل مواجهة الاتحاد السكندرى
114,الونش ومصطفى فتحى وأحداد والمثلوثى ضمن قائمة الزمالك أمام المقاولون
115,طلائع الجيش يتعادل مع الجونة 1-1 فى الجولة الأولي بالدورى
116,طلائع الجيش يتعادل أمام الجونة بهدف من أول ركلة جزاء فى الموسم الجديد
